username,user_country,room_view,stay_duration,stay_type,review_post_date,review_title,rating,original_lang,review_text_liked,review_text_disliked,full_review,en_full_review,found_helpful,found_unhelpful,owner_resp_text
María,Ecuador,Single Room,1 night,Solo traveller,08-19-2024 00:00:00,Very good,8.0,es,La atención y las instalaciones. El desayuno estaba delicioso,Llegué y las televisiónes no tienen buena señal y cuando me iban a cambiar de habitación una de las habitaciones tenía olor a cigarro muy fuerte,title: Very good. liked: La atención y las instalaciones. El desayuno estaba delicioso. disliked: Llegué y las televisiónes no tienen buena señal y cuando me iban a cambiar de habitación una de las habitaciones tenía olor a cigarro muy fuerte.,,0,0,
Lemus,Colombia,Double or Twin Room,3 nights,Family,08-19-2024 00:00:00,Buen experiencia,8.0,es,La comodidad de las camas,El ruido de un grupo de huespedes que llegaron a media noche a poner música con un volúmen alto,title: Buen experiencia. liked: La comodidad de las camas. disliked: El ruido de un grupo de huespedes que llegaron a media noche a poner música con un volúmen alto.,,0,0,
Jaime,Ecuador,Triple Room with Private Bathroom,2 nights,Family,08-13-2024 00:00:00,Exceptional,10.0,es,La ubicación,La televisión no tenía señal de cable,title: Exceptional. liked: La ubicación. disliked: La televisión no tenía señal de cable.,,0,0,
Mayra,Ecuador,Triple Room with Private Bathroom,1 night,Family,08-11-2024 00:00:00,Bien,8.0,es,Las camas muy cómodas y las cobijas acogedoras,Los gatos,title: Bien. liked: Las camas muy cómodas y las cobijas acogedoras. disliked: Los gatos.,,0,0,
Carrera,Ecuador,Quadruple Room,1 night,Group,08-10-2024 00:00:00,Very good,8.0,es,Desayuno,,title: Very good. liked: Desayuno.,,0,0,
Stefanie,Germany,Quadruple Room,3 nights,Family,08-10-2024 00:00:00,Toller Aufenthalt,10.0,de,"Gute Lage mit schöner Aussicht, toller Garten, blitzblank sauber, täglich geputzt, leckeres Frühstück in gemütlichem, hellen Frühstücksraum, schneller Wäscheservice, nettes Personal. Alles super- wir würden wieder kommen!",Die Strasse ist recht laut- vor allem in aller Früh- also Oropax mitnehmen.,"title: Toller Aufenthalt. liked: Gute Lage mit schöner Aussicht, toller Garten, blitzblank sauber, täglich geputzt, leckeres Frühstück in gemütlichem, hellen Frühstücksraum, schneller Wäscheservice, nettes Personal. Alles super- wir würden wieder kommen! disliked: Die Strasse ist recht laut- vor allem in aller Früh- also Oropax mitnehmen.",,0,0,
Cari,Ecuador,Double or Twin Room,1 night,Couple,08-04-2024 00:00:00,Superb,9.0,es,Las instalaciones,,title: Superb. liked: Las instalaciones.,,0,0,
Cornelio,Ecuador,Quadruple Room,1 night,Couple,08-03-2024 00:00:00,Lugar tranquilo,8.0,es,"Bonito lugar con una vista amplia de toda la ciudad, es un lugar muy tranquilo, la atención muy amable, desde la recepción nos pudieron orientar de los atractivos más relevantes de Baños",El colchón es demasiado suave,"title: Lugar tranquilo. liked: Bonito lugar con una vista amplia de toda la ciudad, es un lugar muy tranquilo, la atención muy amable, desde la recepción nos pudieron orientar de los atractivos más relevantes de Baños. disliked: El colchón es demasiado suave.",,0,0,
Nicolás,Ecuador,Quadruple Room,2 nights,Family,07-29-2024 00:00:00,Superb,9.0,es,"Lugar limpio, seguro y tranquilo , perfecto para descansar. Dispone de garaje el cual se puede salir a cualquier hora sin problemas.","Las almohadas les hace falta renovarlas , las que disponen son muy duras, aparte de esto no tuvimos ningún problema durante nuestra estadía.","title: Superb. liked: Lugar limpio, seguro y tranquilo , perfecto para descansar. Dispone de garaje el cual se puede salir a cualquier hora sin problemas. disliked: Las almohadas les hace falta renovarlas , las que disponen son muy duras, aparte de esto no tuvimos ningún problema durante nuestra estadía.",,0,0,
Igor,Brazil,Single Room,2 nights,Solo traveller,07-27-2024 00:00:00,Exceptional,10.0,pt-br,"A localização, o quarto, o estacionamento, o café da manhã, tudo maravilhoso.","Só faltou uma cadeira no quarto, mas isso em nada atrapalha a estadia.","title: Exceptional. liked: A localização, o quarto, o estacionamento, o café da manhã, tudo maravilhoso. disliked: Só faltou uma cadeira no quarto, mas isso em nada atrapalha a estadia.",,0,0,
Guillermo,Ecuador,Triple Room with Private Bathroom,2 nights,Family,07-24-2024 00:00:00,Muy buena opción en baños.,8.0,es,"Es un muy buen lugar, las habitaciones son limpias, es seguro, la ducha tiene buena presión de agua y el agua caliente es estable, está ubicado relativamente cerca del centro de la ciudad pero al mismo tiempo alejado de la bulla de los locales comerciales, tiene estacionamiento, el personal es amable.","Por estar ubicado en una calle con una subida pronunciada, a veces durante la noche el ruido de los autos y motos que pasan por la calle interrumpen el sueño. También ayudaría mucho si cambiaran la TV por una que permita ver Youtube o Netflix.","title: Muy buena opción en baños. liked: Es un muy buen lugar, las habitaciones son limpias, es seguro, la ducha tiene buena presión de agua y el agua caliente es estable, está ubicado relativamente cerca del centro de la ciudad pero al mismo tiempo alejado de la bulla de los locales comerciales, tiene estacionamiento, el personal es amable. disliked: Por estar ubicado en una calle con una subida pronunciada, a veces durante la noche el ruido de los autos y motos que pasan por la calle interrumpen el sueño. También ayudaría mucho si cambiaran la TV por una que permita ver Youtube o Netflix.",,0,0,
Marco,Ecuador,Single Room,3 nights,Solo traveller,07-24-2024 00:00:00,Totalmente recomendable,10.0,es,"Atención, servicios, limpieza, etc",..,"title: Totalmente recomendable. liked: Atención, servicios, limpieza, etc. disliked: ..",,0,0,
Patricia,Ecuador,Double or Twin Room,2 nights,Couple,07-18-2024 00:00:00,Exceptional,10.0,es,La ubicación y la atención fue excelente,Todo excelente,title: Exceptional. liked: La ubicación y la atención fue excelente. disliked: Todo excelente.,,0,0,
Ivan,Czech Republic,Quadruple Room,1 night,Couple,07-11-2024 00:00:00,Vřele doporučuji.10 minut chůze do centra,9.0,cs,Vynikající komunikace po objednání. Parkovací místo v hotelu. Nejlepší poměr cena výkon za náš pobyt v Ekvádoru,,title: Vřele doporučuji.10 minut chůze do centra. liked: Vynikající komunikace po objednání. Parkovací místo v hotelu. Nejlepší poměr cena výkon za náš pobyt v Ekvádoru.,,0,0,
Nicolas,Ecuador,Double or Twin Room,3 nights,Couple,07-09-2024 00:00:00,Muy buena estancia,8.0,es,Excelente vista!,,title: Muy buena estancia. liked: Excelente vista!,,0,0,
Edgar,Chile,Quadruple Room,1 night,Couple,07-08-2024 00:00:00,Está bien.,8.0,es-ar,En taxi igual ser llega rápido desde el centro.,"Para llegar hay que subir una cuesta, y en la noche no parece tan seguro.","title: Está bien. liked: En taxi igual ser llega rápido desde el centro. disliked: Para llegar hay que subir una cuesta, y en la noche no parece tan seguro.",,0,0,
María,Ecuador,Single Room,1 night,Solo traveller,07-04-2024 00:00:00,Superb,9.0,es,Las instalaciones,Las cobijas no eran suficientes,title: Superb. liked: Las instalaciones. disliked: Las cobijas no eran suficientes.,,0,0,
Carlos,Ecuador,Double or Twin Room,2 nights,Couple,06-25-2024 00:00:00,Exceptional,10.0,es,Exelente atención,,title: Exceptional. liked: Exelente atención.,,0,0,
Gabriela,Ecuador,Double or Twin Room,2 nights,Couple,06-17-2024 00:00:00,Superb,9.0,es,La limpieza,La ubicación,title: Superb. liked: La limpieza. disliked: La ubicación.,,0,0,
Vladěnka,Czech Republic,Single Room,1 night,Group,06-12-2024 00:00:00,Ubytování je hodně v kopci,8.0,cs,"Výborná snídaně, pohodlí","Hluk zvířat, netěsnily okna a tak mi byla trochu zima.","title: Ubytování je hodně v kopci. liked: Výborná snídaně, pohodlí. disliked: Hluk zvířat, netěsnily okna a tak mi byla trochu zima.",,0,0,
Davide,Spain,Double or Twin Room,2 nights,Couple,06-07-2024 00:00:00,Exceptional,10.0,es,"Las vistas, habitación limpia y cómoda , desayuno muy rico.","Hay que caminar 5 minutos para llegar al centro, pero casi mejor así porque la zona es más tranquila y no hay ruidoso","title: Exceptional. liked: Las vistas, habitación limpia y cómoda , desayuno muy rico. disliked: Hay que caminar 5 minutos para llegar al centro, pero casi mejor así porque la zona es más tranquila y no hay ruidoso.",,0,0,
Juan,Ecuador,Triple Room with Private Bathroom,1 night,Family,06-03-2024 00:00:00,Recomendado,10.0,es,La atención al cliente muy respetuosos y amigables Los espacios acogedores tanto dentro como fuera de la habitación,,title: Recomendado. liked: La atención al cliente muy respetuosos y amigables Los espacios acogedores tanto dentro como fuera de la habitación.,,0,0,
Edgar,Ecuador,Triple Room with Private Bathroom,2 nights,Family,05-30-2024 00:00:00,RECOMENDACION PET FRIENDLY A OJO CERRADO,10.0,es,"Todo fue de primera, habitacion comoda y limpia, la vista de la habitacion, la tranquilidad de la ubicacion, la amabilidad y gran disposicion del personal. Totalmente recomendado y pet friendly.",El colchon de la litera de abajo era un poco alto por lo q sentarse resultaba un poco incomodo. Pero la cama muy suave y limpia,"title: RECOMENDACION PET FRIENDLY A OJO CERRADO. liked: Todo fue de primera, habitacion comoda y limpia, la vista de la habitacion, la tranquilidad de la ubicacion, la amabilidad y gran disposicion del personal. Totalmente recomendado y pet friendly. disliked: El colchon de la litera de abajo era un poco alto por lo q sentarse resultaba un poco incomodo. Pero la cama muy suave y limpia.",,0,0,
Jorgedhs,Spain,Double or Twin Room,1 night,Couple,05-30-2024 00:00:00,Very good,8.0,es,Limpio y comodo Gran espacio,Nada que destacar,title: Very good. liked: Limpio y comodo Gran espacio. disliked: Nada que destacar.,,0,0,
Marcelo,Ecuador,Double or Twin Room,1 night,Couple,05-28-2024 00:00:00,Satisfacción,9.0,es,La estructura,El parqueadero,title: Satisfacción. liked: La estructura. disliked: El parqueadero.,,0,0,
Gabriela,Ecuador,Double or Twin Room,2 nights,Group,05-27-2024 00:00:00,Exceptional,10.0,es,"La amabilidad de su personal, la limpieza, el desayuno y lo comoda de las camas, estaba cerca del centro",,"title: Exceptional. liked: La amabilidad de su personal, la limpieza, el desayuno y lo comoda de las camas, estaba cerca del centro.",,0,0,
